datetime,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,clouds
1686071542,289.59,288.88,286.66,292.06,1022,61,10000,4.63,40,75
1686072088,289.5,288.78,286.66,291.57,1022,61,10000,4.63,40,75
1686072326,289.51,288.77,286.66,291.57,1022,60,10000,4.63,40,75
1686073092,289.17,288.47,286.66,291.1,1022,63,10000,4.63,0,75
1686073092,289.17,288.47,286.66,291.1,1022,63,10000,4.63,0,75
1686073165,289.17,288.47,286.66,291.1,1022,63,10000,4.63,0,75
1686073165,289.17,288.47,286.66,291.1,1022,63,10000,4.63,0,75
1686073532,289.0,288.31,286.66,291.57,1022,64,10000,4.63,0,75
1686073532,289.0,288.31,286.66,291.57,1022,64,10000,4.63,0,75
1686073532,289.0,288.31,286.66,291.57,1022,64,10000,4.63,0,75
1686073839,288.85,288.15,286.66,291.02,1022,64,10000,4.63,0,75
1686073956,288.84,288.14,286.66,291.02,1022,64,10000,4.63,0,75
1686074375,288.81,288.1,286.66,291.02,1022,64,10000,4.63,0,75
1686074375,288.81,288.1,286.66,291.02,1022,64,10000,4.63,0,75
1686074375,288.81,288.1,286.66,291.02,1022,64,10000,4.63,0,75
1686074375,288.81,288.1,286.66,291.02,1022,64,10000,4.63,0,75
1686074375,288.81,288.1,286.66,291.02,1022,64,10000,4.63,0,75
1686074719,288.64,287.94,286.66,290.54,1022,65,10000,4.12,50,75
1686074719,288.64,287.94,286.66,290.54,1022,65,10000,4.12,50,75
1686074892,288.58,287.88,286.66,290.54,1022,65,10000,4.12,50,75
1686074892,288.58,287.88,286.66,290.54,1022,65,10000,4.12,50,75
1686075153,288.58,287.88,286.03,290.95,1022,65,10000,4.12,50,75
1686075341,288.55,287.84,286.03,290.95,1022,65,10000,4.12,50,75
1686075341,288.55,287.84,286.03,290.95,1022,65,10000,4.12,50,75
1686075770,288.37,287.64,286.03,290.11,1022,65,10000,4.12,50,75
1686075790,288.37,287.64,286.03,290.11,1022,65,10000,4.12,50,75
1686075942,288.36,287.63,286.03,290.11,1022,65,10000,4.47,20,75
1686075942,288.36,287.63,286.03,290.11,1022,65,10000,4.47,20,75
1686075942,288.36,287.63,286.03,290.11,1022,65,10000,4.47,20,75
1686076195,288.4,287.68,286.03,290.11,1022,65,10000,4.47,20,75
